date,WS50M,T2M,PS,WS10M
01/01/2015 00:00,7.42,2.8,99.29,3.79
01/01/2015 01:00,7.06,2.24,99.29,3.63
01/01/2015 02:00,6.91,1.71,99.26,3.56
01/01/2015 03:00,7.03,1.24,99.23,3.57
01/01/2015 04:00,6.83,0.7,99.26,3.47
01/01/2015 05:00,6.26,0.13,99.35,3.28
01/01/2015 06:00,6.12,-0.29,99.39,3.25
01/01/2015 07:00,6.31,1.35,99.4,3.9
01/01/2015 08:00,5.31,3.99,99.43,4.89
01/01/2015 09:00,5.04,7.14,99.49,4.41
01/01/2015 10:00,6.89,11.06,99.51,5.93
01/01/2015 11:00,8.14,13.73,99.46,7.03
01/01/2015 12:00,8.65,15.27,99.4,7.5
01/01/2015 13:00,9.27,16.12,99.35,7.99
01/01/2015 14:00,9.96,16.21,99.32,8.49
01/01/2015 15:00,10.2,15.47,99.32,8.45
01/01/2015 16:00,9.55,13.15,99.36,6.38
01/01/2015 17:00,9.58,9.83,99.44,4.99
01/01/2015 18:00,9.68,8.86,99.54,5.27
01/01/2015 19:00,9.72,8.19,99.6,5.68
01/01/2015 20:00,9.83,7.65,99.65,6.19
01/01/2015 21:00,9.82,7.01,99.69,6.3
01/01/2015 22:00,9.67,6.18,99.7,6.05
01/01/2015 23:00,9.42,5.13,99.7,5.6
02/01/2015 00:00,9.32,4.15,99.7,5.45
02/01/2015 01:00,9.29,3.31,99.69,5.56
02/01/2015 02:00,9.2,2.55,99.66,5.68
02/01/2015 03:00,9.05,1.86,99.67,5.66
02/01/2015 04:00,8.86,1.29,99.7,5.52
02/01/2015 05:00,8.68,0.84,99.76,5.41
02/01/2015 06:00,8.49,0.44,99.83,5.29
02/01/2015 07:00,7.86,1.09,99.9,6.05
02/01/2015 08:00,6.39,3.19,99.97,5.79
02/01/2015 09:00,7.49,6.92,100.03,6.2
02/01/2015 10:00,9.28,10.9,100,7.93
02/01/2015 11:00,8.36,12.98,99.93,7.26
02/01/2015 12:00,7.71,14.35,99.85,6.73
02/01/2015 13:00,7.51,15.18,99.78,6.54
02/01/2015 14:00,7.63,15.43,99.73,6.6
02/01/2015 15:00,7.96,15.05,99.71,6.65
02/01/2015 16:00,8.23,12.41,99.72,4.66
02/01/2015 17:00,9.51,9.2,99.76,4.78
02/01/2015 18:00,10.2,8.48,99.82,5.67
02/01/2015 19:00,10.08,7.56,99.87,5.93
02/01/2015 20:00,9.71,6.55,99.89,5.66
02/01/2015 21:00,9.47,5.65,99.9,5.36
02/01/2015 22:00,9.33,4.94,99.89,5.24
02/01/2015 23:00,9.22,4.29,99.89,5.15
03/01/2015 00:00,9.13,3.69,99.89,5.06
03/01/2015 01:00,9,3.12,99.9,4.91
03/01/2015 02:00,8.9,2.61,99.9,4.81
03/01/2015 03:00,8.88,2.17,99.88,4.85
03/01/2015 04:00,8.84,1.76,99.9,4.91
03/01/2015 05:00,8.76,1.37,99.94,4.91
