date,WS50M,T2M,PS,WS10M
01/01/2013 01:00,2.2,8.83,100.09,1.44
01/01/2013 02:00,2.5,8.48,100.05,1.62
01/01/2013 03:00,2.64,8.1,100,1.71
01/01/2013 04:00,2.71,7.7,99.96,1.77
01/01/2013 05:00,2.8,7.4,99.95,1.83
01/01/2013 06:00,2.97,7.11,99.97,1.91
01/01/2013 07:00,3.29,6.85,99.98,2.02
01/01/2013 08:00,3.56,8.76,100,2.82
01/01/2013 09:00,3.19,10.69,100.04,3.06
01/01/2013 10:00,2.74,13.47,100.06,2.56
01/01/2013 11:00,3.12,14.83,100.03,2.84
01/01/2013 12:00,3.54,15.49,99.94,3.2
01/01/2013 13:00,3.75,15.83,99.86,3.38
01/01/2013 14:00,3.75,15.81,99.82,3.36
01/01/2013 15:00,3.58,15.32,99.81,3.17
01/01/2013 16:00,3.26,13.49,99.81,2.06
01/01/2013 17:00,3.19,10.99,99.84,2.06
01/01/2013 18:00,3.42,9.98,99.89,2.21
01/01/2013 19:00,3.84,8.9,99.93,2.46
01/01/2013 20:00,4.24,7.87,99.95,2.68
01/01/2013 21:00,4.45,7.1,99.96,2.79
01/01/2013 22:00,4.41,6.58,99.95,2.78
01/01/2013 23:00,4.15,6.27,99.91,2.67
02/01/2013 00:00,3.79,6.12,99.86,2.5
02/01/2013 01:00,3.43,6.07,99.84,2.3
02/01/2013 02:00,3.16,6.01,99.82,2.16
02/01/2013 03:00,3.17,5.75,99.8,2.17
02/01/2013 04:00,3.6,5.16,99.79,2.4
02/01/2013 05:00,4.24,4.37,99.81,2.74
02/01/2013 06:00,4.69,3.88,99.86,2.94
02/01/2013 07:00,4.83,4.4,99.89,2.89
02/01/2013 08:00,5.02,6.44,99.92,2.66
02/01/2013 09:00,4.55,8.33,99.96,3.58
02/01/2013 10:00,3.76,9.65,99.97,3.45
02/01/2013 11:00,3.33,11.97,99.92,2.99
02/01/2013 12:00,3.94,14.33,99.82,3.37
02/01/2013 13:00,4.16,15.12,99.72,3.55
02/01/2013 14:00,3.92,15.4,99.67,3.35
02/01/2013 15:00,3.25,15.24,99.63,2.69
02/01/2013 16:00,2.04,13.73,99.62,1.28
02/01/2013 17:00,0.99,12.26,99.64,0.66
02/01/2013 18:00,1.08,11.33,99.69,0.78
02/01/2013 19:00,1.86,10.34,99.74,1.28
02/01/2013 20:00,2.68,9.4,99.77,1.75
02/01/2013 21:00,3.35,8.58,99.79,2.12
02/01/2013 22:00,3.74,7.99,99.8,2.32
02/01/2013 23:00,3.75,7.69,99.79,2.31
03/01/2013 00:00,3.29,7.66,99.75,2.06
03/01/2013 01:00,2.72,7.8,99.74,1.73
03/01/2013 02:00,2.57,7.59,99.74,1.62
03/01/2013 03:00,2.66,7.16,99.74,1.6
03/01/2013 04:00,3,6.72,99.74,1.72
03/01/2013 05:00,3.62,6.55,99.78,1.98
03/01/2013 06:00,4.16,6.44,99.84,2.19
03/01/2013 07:00,4.56,6.48,99.88,2.33
03/01/2013 08:00,4.4,8.07,99.94,3.24
03/01/2013 09:00,3.97,9.44,100,3.59
03/01/2013 10:00,4.58,11.58,100.04,4.09
03/01/2013 11:00,6.32,14.27,100.03,5.52
03/01/2013 12:00,7.21,16.14,99.98,6.42
03/01/2013 13:00,7.52,16.72,99.94,6.69
03/01/2013 14:00,7.86,16.67,99.95,6.9
03/01/2013 15:00,8.35,16.05,100,7.11
03/01/2013 16:00,8.86,14.47,100.06,6.48
03/01/2013 17:00,9.56,11.92,100.14,5.66
03/01/2013 18:00,9.81,11.12,100.22,5.96
03/01/2013 19:00,9.68,10.56,100.27,5.64
03/01/2013 20:00,9.62,10.29,100.3,5.37
03/01/2013 21:00,9.57,10.13,100.32,5.13
03/01/2013 22:00,9.26,9.78,100.33,4.79
03/01/2013 23:00,8.77,9.23,100.33,4.46
04/01/2013 00:00,8.33,8.8,100.33,4.26
04/01/2013 01:00,8.07,8.66,100.35,4.19
04/01/2013 02:00,7.96,8.68,100.38,4.21
04/01/2013 03:00,7.65,8.8,100.4,4.23
04/01/2013 04:00,7.33,8.79,100.42,4.17
04/01/2013 05:00,7.21,8.65,100.47,4.13
04/01/2013 06:00,7.08,8.26,100.52,4.04
04/01/2013 07:00,7.06,8.2,100.58,3.97
04/01/2013 08:00,6.7,10.57,100.64,4.74
04/01/2013 09:00,7.07,12.68,100.7,5.91
04/01/2013 10:00,7.24,14.08,100.73,6.3
04/01/2013 11:00,6.91,14.43,100.7,6.09
04/01/2013 12:00,6.86,14.41,100.65,6.05
04/01/2013 13:00,7.09,14.24,100.62,6.22
04/01/2013 14:00,7.48,14.08,100.61,6.5
04/01/2013 15:00,7.73,13.62,100.63,6.55
04/01/2013 16:00,7.24,12.87,100.66,5.61
04/01/2013 17:00,6.79,11.87,100.68,4.13
04/01/2013 18:00,6.9,11.43,100.7,3.99
04/01/2013 19:00,7.17,11.13,100.7,4.04
04/01/2013 20:00,7.7,10.95,100.69,4.36
04/01/2013 21:00,7.96,10.65,100.68,4.42
04/01/2013 22:00,8.09,10.31,100.68,4.45
04/01/2013 23:00,8.07,9.87,100.67,4.46
05/01/2013 00:00,8.05,9.35,100.64,4.49
05/01/2013 01:00,8.02,9.03,100.63,4.6
05/01/2013 02:00,7.96,8.62,100.61,4.49
05/01/2013 03:00,7.73,7.89,100.59,4.1
05/01/2013 04:00,7.59,7.46,100.56,4.04
05/01/2013 05:00,7.31,7.22,100.56,4.14
05/01/2013 06:00,7.01,7.01,100.57,4.27
05/01/2013 07:00,6.85,7.05,100.58,4.64
05/01/2013 08:00,6.44,8.63,100.61,5.39
05/01/2013 09:00,6.63,11.01,100.63,5.69
05/01/2013 10:00,7.07,13.21,100.61,6.19
05/01/2013 11:00,7,14.31,100.55,6.18
05/01/2013 12:00,6.82,14.94,100.47,6.01
05/01/2013 13:00,6.52,15.31,100.38,5.71
05/01/2013 14:00,6.23,15.43,100.34,5.41
05/01/2013 15:00,6.11,15.19,100.32,5.19
05/01/2013 16:00,5.98,13.91,100.3,3.87
05/01/2013 17:00,6.51,11.14,100.29,3.43
05/01/2013 18:00,7.58,9.76,100.3,3.83
05/01/2013 19:00,8.58,9.19,100.31,4.38
05/01/2013 20:00,8.99,8.79,100.3,4.84
05/01/2013 21:00,9.1,8.42,100.28,5.04
05/01/2013 22:00,9.15,8.11,100.25,5.1
05/01/2013 23:00,9.2,7.83,100.21,5.16
06/01/2013 00:00,9.15,7.52,100.18,5.19
06/01/2013 01:00,9.06,7.19,100.18,5.21
06/01/2013 02:00,9.11,6.91,100.17,5.32
06/01/2013 03:00,9.2,6.73,100.15,5.46
06/01/2013 04:00,9.19,6.57,100.15,5.47
06/01/2013 05:00,9.09,6.37,100.16,5.34
06/01/2013 06:00,8.93,6.08,100.18,5.14
06/01/2013 07:00,8.69,6.14,100.21,5.09
06/01/2013 08:00,7.38,8.21,100.26,6.12
06/01/2013 09:00,5.77,10.52,100.31,5.28
06/01/2013 10:00,5.74,14.17,100.33,4.99
06/01/2013 11:00,5.75,15.87,100.27,5.12
06/01/2013 12:00,5.82,16.62,100.19,5.18
06/01/2013 13:00,5.84,16.96,100.13,5.22
06/01/2013 14:00,5.71,16.9,100.1,5.09
06/01/2013 15:00,5.46,16.33,100.11,4.78
06/01/2013 16:00,5.15,14.3,100.11,3.08
06/01/2013 17:00,4.74,10.94,100.13,2.76
06/01/2013 18:00,3.76,10.26,100.16,2.35
06/01/2013 19:00,2.56,10.15,100.2,1.72
06/01/2013 20:00,2.13,9.85,100.23,1.48
06/01/2013 21:00,3.04,8.9,100.24,2.03
06/01/2013 22:00,4.13,7.88,100.26,2.62
06/01/2013 23:00,5.07,7.12,100.26,3.04
07/01/2013 00:00,5.74,6.69,100.25,3.31
07/01/2013 01:00,6.17,6.39,100.23,3.45
07/01/2013 02:00,6.46,6.15,100.2,3.53
07/01/2013 03:00,6.61,5.93,100.16,3.58
07/01/2013 04:00,6.8,5.73,100.12,3.64
07/01/2013 05:00,6.97,5.54,100.1,3.69
07/01/2013 06:00,7.1,5.33,100.1,3.72
07/01/2013 07:00,7.31,5.54,100.12,3.74
07/01/2013 08:00,6.89,8.72,100.16,5.02
07/01/2013 09:00,5.52,11.09,100.22,5.09
07/01/2013 10:00,5.09,14.53,100.23,4.61
07/01/2013 11:00,4.99,16.45,100.18,4.52
07/01/2013 12:00,5.38,17.3,100.09,4.87
07/01/2013 13:00,5.83,17.74,100.01,5.26
07/01/2013 14:00,6.21,17.7,99.96,5.55
07/01/2013 15:00,6.53,17.05,99.94,5.63
07/01/2013 16:00,6.88,14.79,99.94,4.17
07/01/2013 17:00,7.68,11.23,99.98,3.8
07/01/2013 18:00,8.23,10.15,100.04,4.07
07/01/2013 19:00,8.46,9.41,100.09,4.23
07/01/2013 20:00,8.59,8.8,100.12,4.32
07/01/2013 21:00,8.7,8.31,100.15,4.41
07/01/2013 22:00,8.73,7.87,100.18,4.43
07/01/2013 23:00,8.77,7.49,100.18,4.48
08/01/2013 00:00,8.8,7.16,100.16,4.57
08/01/2013 01:00,8.76,6.84,100.14,4.6
08/01/2013 02:00,8.68,6.54,100.13,4.58
08/01/2013 03:00,8.57,6.24,100.11,4.57
